"GMD","Team","Year","Result","For","Aga","Diff","HTf","HTa","Opposition","Ground","Match.Date","diff.Date","Year.WR","TO.6Day","Team.Opp","diff.Date.Opp","Year.WR.Opp","TO.6Day.Opp","diff.Date.adv"
"Rome 15-Feb-03","Italy","03","won",30,22,8,20,17,"v Wales","Rome","15-Feb-03",314,0.2,FALSE,"Wales",315,0,FALSE,-1
"Twickenham 15-Feb-03","England","03","won",25,17,8,12,7,"v France","Twickenham","15-Feb-03",314,1,FALSE,"France",315,0.6,FALSE,-1
"Murrayfield 16-Feb-03","Scotland","03","lost",6,36,-30,0,13,"v Ireland","Murrayfield","16-Feb-03",316,0.4,FALSE,"Ireland",316,0.8,FALSE,0
"Millennium Stadium 22-Feb-03","Wales","03","lost",9,26,-17,6,9,"v England","Millennium Stadium","22-Feb-03",7,0,FALSE,"England",7,1,FALSE,0
"Rome 22-Feb-03","Italy","03","lost",13,37,-24,3,18,"v Ireland","Rome","22-Feb-03",7,0.2,FALSE,"Ireland",6,0.8,TRUE,1
"Stade de France 23-Feb-03","France","03","won",38,3,35,17,3,"v Scotland","Stade de France","23-Feb-03",8,0.6,FALSE,"Scotland",7,0.4,FALSE,1
"Lansdowne Road 08-Mar-03","Ireland","03","won",15,12,3,12,3,"v France","Lansdowne Road","08-Mar-03",14,0.8,FALSE,"France",13,0.6,FALSE,1
"Murrayfield 08-Mar-03","Scotland","03","won",30,22,8,20,10,"v Wales","Murrayfield","08-Mar-03",13,0.4,FALSE,"Wales",14,0,FALSE,-1
"Twickenham 09-Mar-03","England","03","won",40,5,35,33,0,"v Italy","Twickenham","09-Mar-03",15,1,FALSE,"Italy",15,0.2,FALSE,0
"Millennium Stadium 22-Mar-03","Wales","03","lost",24,25,-1,7,14,"v Ireland","Millennium Stadium","22-Mar-03",14,0,FALSE,"Ireland",14,0.8,FALSE,0
"Twickenham 22-Mar-03","England","03","won",40,9,31,16,9,"v Scotland","Twickenham","22-Mar-03",13,1,FALSE,"Scotland",14,0.4,FALSE,-1
"Rome 23-Mar-03","Italy","03","lost",27,53,-26,10,41,"v France","Rome","23-Mar-03",14,0.2,FALSE,"France",15,0.6,FALSE,-1
"Murrayfield 29-Mar-03","Scotland","03","won",33,25,8,23,15,"v Italy","Murrayfield","29-Mar-03",7,0.4,FALSE,"Italy",6,0.2,TRUE,1
"Stade de France 29-Mar-03","France","03","won",33,5,28,10,5,"v Wales","Stade de France","29-Mar-03",6,0.6,TRUE,"Wales",7,0,FALSE,-1
"Lansdowne Road 30-Mar-03","Ireland","03","lost",6,42,-36,6,13,"v England","Lansdowne Road","30-Mar-03",8,0.8,FALSE,"England",8,1,FALSE,0
"Millennium Stadium 14-Feb-04","Wales","04","won",23,10,13,18,3,"v Scotland","Millennium Stadium","14-Feb-04",322,0.4,FALSE,"Scotland",322,0,FALSE,0
"Stade de France 14-Feb-04","France","04","won",35,17,18,11,3,"v Ireland","Stade de France","14-Feb-04",322,1,FALSE,"Ireland",321,0.8,FALSE,1
"Rome 15-Feb-04","Italy","04","lost",9,50,-41,9,26,"v England","Rome","15-Feb-04",323,0.2,FALSE,"England",322,0.6,FALSE,1
"Murrayfield 21-Feb-04","Scotland","04","lost",13,35,-22,6,20,"v England","Murrayfield","21-Feb-04",7,0,FALSE,"England",6,0.6,TRUE,1
"Stade de France 21-Feb-04","France","04","won",25,0,25,10,0,"v Italy","Stade de France","21-Feb-04",7,1,FALSE,"Italy",6,0.2,TRUE,1
"Lansdowne Road 22-Feb-04","Ireland","04","won",36,15,21,24,3,"v Wales","Lansdowne Road","22-Feb-04",8,0.8,FALSE,"Wales",8,0.4,FALSE,0
"Rome 06-Mar-04","Italy","04","won",20,14,6,9,9,"v Scotland","Rome","06-Mar-04",14,0.2,FALSE,"Scotland",14,0,FALSE,0
"Twickenham 06-Mar-04","England","04","lost",13,19,-6,10,12,"v Ireland","Twickenham","06-Mar-04",14,0.6,FALSE,"Ireland",13,0.8,FALSE,1
"Millennium Stadium 07-Mar-04","Wales","04","lost",22,29,-7,12,13,"v France","Millennium Stadium","07-Mar-04",14,0.4,FALSE,"France",15,1,FALSE,-1
"Lansdowne Road 20-Mar-04","Ireland","04","won",19,3,16,12,0,"v Italy","Lansdowne Road","20-Mar-04",14,0.8,FALSE,"Italy",14,0.2,FALSE,0
"Twickenham 20-Mar-04","England","04","won",31,21,10,16,9,"v Wales","Twickenham","20-Mar-04",14,0.6,FALSE,"Wales",13,0.4,FALSE,1
"Murrayfield 21-Mar-04","Scotland","04","lost",0,31,-31,0,11,"v France","Murrayfield","21-Mar-04",15,0,FALSE,"France",14,1,FALSE,1
"Lansdowne Road 27-Mar-04","Ireland","04","won",37,16,21,16,9,"v Scotland","Lansdowne Road","27-Mar-04",7,0.8,FALSE,"Scotland",6,0,TRUE,1
"Millennium Stadium 27-Mar-04","Wales","04","won",44,10,34,16,0,"v Italy","Millennium Stadium","27-Mar-04",7,0.4,FALSE,"Italy",7,0.2,FALSE,0
"Stade de France 27-Mar-04","France","04","won",24,21,3,21,3,"v England","Stade de France","27-Mar-04",6,1,TRUE,"England",7,0.6,FALSE,-1
"Millennium Stadium 05-Feb-05","Wales","05","won",11,9,2,8,3,"v England","Millennium Stadium","05-Feb-05",315,1,FALSE,"England",315,0.4,FALSE,0
"Stade de France 05-Feb-05","France","05","won",16,9,7,0,6,"v Scotland","Stade de France","05-Feb-05",315,0.8,FALSE,"Scotland",315,0.2,FALSE,0
"Rome 06-Feb-05","Italy","05","lost",17,28,-11,6,8,"v Ireland","Rome","06-Feb-05",316,0,FALSE,"Ireland",316,0.6,FALSE,0
"Murrayfield 12-Feb-05","Scotland","05","lost",13,40,-27,8,18,"v Ireland","Murrayfield","12-Feb-05",7,0.2,FALSE,"Ireland",6,0.6,TRUE,1
"Rome 12-Feb-05","Italy","05","lost",8,38,-30,5,19,"v Wales","Rome","12-Feb-05",6,0,TRUE,"Wales",7,1,FALSE,-1
"Twickenham 13-Feb-05","England","05","lost",17,18,-1,17,6,"v France","Twickenham","13-Feb-05",8,0.4,FALSE,"France",8,0.8,FALSE,0
"Murrayfield 26-Feb-05","Scotland","05","won",18,10,8,6,3,"v Italy","Murrayfield","26-Feb-05",14,0.2,FALSE,"Italy",14,0,FALSE,0
"Stade de France 26-Feb-05","France","05","lost",18,24,-6,15,6,"v Wales","Stade de France","26-Feb-05",13,0.8,FALSE,"Wales",14,1,FALSE,-1
"Lansdowne Road 27-Feb-05","Ireland","05","won",19,13,6,12,10,"v England","Lansdowne Road","27-Feb-05",15,0.6,FALSE,"England",14,0.4,FALSE,1
"Lansdowne Road 12-Mar-05","Ireland","05","lost",19,26,-7,9,18,"v France","Lansdowne Road","12-Mar-05",13,0.6,FALSE,"France",14,0.8,FALSE,-1
"Twickenham 12-Mar-05","England","05","won",39,7,32,22,0,"v Italy","Twickenham","12-Mar-05",13,0.4,FALSE,"Italy",14,0,FALSE,-1
"Murrayfield 13-Mar-05","Scotland","05","lost",22,46,-24,3,38,"v Wales","Murrayfield","13-Mar-05",15,0.2,FALSE,"Wales",15,1,FALSE,0
"Millennium Stadium 19-Mar-05","Wales","05","won",32,20,12,16,6,"v Ireland","Millennium Stadium","19-Mar-05",6,1,TRUE,"Ireland",7,0.6,FALSE,-1
"Rome 19-Mar-05","Italy","05","lost",13,56,-43,10,24,"v France","Rome","19-Mar-05",7,0,FALSE,"France",7,0.8,FALSE,0
"Twickenham 19-Mar-05","England","05","won",43,22,21,26,10,"v Scotland","Twickenham","19-Mar-05",7,0.4,FALSE,"Scotland",6,0.2,TRUE,1
"Lansdowne Road 04-Feb-06","Ireland","06","won",26,16,10,10,10,"v Italy","Lansdowne Road","04-Feb-06",322,0.8,FALSE,"Italy",322,0,FALSE,0
"Twickenham 04-Feb-06","England","06","won",47,13,34,15,10,"v Wales","Twickenham","04-Feb-06",322,0.4,FALSE,"Wales",322,0.2,FALSE,0
"Murrayfield 05-Feb-06","Scotland","06","won",20,16,4,13,3,"v France","Murrayfield","05-Feb-06",323,0.6,FALSE,"France",323,0.8,FALSE,0
"Rome 11-Feb-06","Italy","06","lost",16,31,-15,6,7,"v England","Rome","11-Feb-06",7,0,FALSE,"England",7,0.4,FALSE,0
"Stade de France 11-Feb-06","France","06","won",43,31,12,29,3,"v Ireland","Stade de France","11-Feb-06",6,0.8,TRUE,"Ireland",7,0.8,FALSE,-1
"Millennium Stadium 12-Feb-06","Wales","06","won",28,18,10,14,6,"v Scotland","Millennium Stadium","12-Feb-06",8,0.2,FALSE,"Scotland",7,0.6,FALSE,1
"Murrayfield 25-Feb-06","Scotland","06","won",18,12,6,3,3,"v England","Murrayfield","25-Feb-06",13,0.6,FALSE,"England",14,0.4,FALSE,-1
"Stade de France 25-Feb-06","France","06","won",37,12,25,8,12,"v Italy","Stade de France","25-Feb-06",14,0.8,FALSE,"Italy",14,0,FALSE,0
"Lansdowne Road 26-Feb-06","Ireland","06","won",31,5,26,11,5,"v Wales","Lansdowne Road","26-Feb-06",15,0.8,FALSE,"Wales",14,0.2,FALSE,1
"Lansdowne Road 11-Mar-06","Ireland","06","won",15,9,6,12,9,"v Scotland","Lansdowne Road","11-Mar-06",13,0.8,FALSE,"Scotland",14,0.6,FALSE,-1
"Millennium Stadium 11-Mar-06","Wales","06","draw",18,18,0,15,15,"v Italy","Millennium Stadium","11-Mar-06",13,0.2,FALSE,"Italy",14,0,FALSE,-1
"Stade de France 12-Mar-06","France","06","won",31,6,25,16,3,"v England","Stade de France","12-Mar-06",15,0.8,FALSE,"England",15,0.4,FALSE,0
"Millennium Stadium 18-Mar-06","Wales","06","lost",16,21,-5,13,6,"v France","Millennium Stadium","18-Mar-06",7,0.2,FALSE,"France",6,0.8,TRUE,1
"Rome 18-Mar-06","Italy","06","lost",10,13,-3,7,10,"v Scotland","Rome","18-Mar-06",7,0,FALSE,"Scotland",7,0.6,FALSE,0
"Twickenham 18-Mar-06","England","06","lost",24,28,-4,8,11,"v Ireland","Twickenham","18-Mar-06",6,0.4,TRUE,"Ireland",7,0.8,FALSE,-1
"Rome 03-Feb-07","Italy","07","lost",3,39,-36,3,22,"v France","Rome","03-Feb-07",322,0.4,FALSE,"France",322,0.8,FALSE,0
"Twickenham 03-Feb-07","England","07","won",42,20,22,17,10,"v Scotland","Twickenham","03-Feb-07",322,0.6,FALSE,"Scotland",322,0.2,FALSE,0
"Millennium Stadium 04-Feb-07","Wales","07","lost",9,19,-10,9,12,"v Ireland","Millennium Stadium","04-Feb-07",323,0.2,FALSE,"Ireland",323,0.8,FALSE,0
"Murrayfield 10-Feb-07","Scotland","07","won",21,9,12,9,6,"v Wales","Murrayfield","10-Feb-07",7,0.2,FALSE,"Wales",6,0.2,TRUE,1
"Twickenham 10-Feb-07","England","07","won",20,7,13,14,0,"v Italy","Twickenham","10-Feb-07",7,0.6,FALSE,"Italy",7,0.4,FALSE,0
"Croke Park 11-Feb-07","Ireland","07","lost",17,20,-3,11,13,"v France","Croke Park","11-Feb-07",7,0.8,FALSE,"France",8,0.8,FALSE,-1
"Croke Park 24-Feb-07","Ireland","07","won",43,13,30,23,3,"v England","Croke Park","24-Feb-07",13,0.8,FALSE,"England",14,0.6,FALSE,-1
"Murrayfield 24-Feb-07","Scotland","07","lost",17,37,-20,10,24,"v Italy","Murrayfield","24-Feb-07",14,0.2,FALSE,"Italy",14,0.4,FALSE,0
"Stade de France 24-Feb-07","France","07","won",32,21,11,23,14,"v Wales","Stade de France","24-Feb-07",13,0.8,FALSE,"Wales",14,0.2,FALSE,-1
"Murrayfield 10-Mar-07","Scotland","07","lost",18,19,-1,9,13,"v Ireland","Murrayfield","10-Mar-07",14,0.2,FALSE,"Ireland",14,0.8,FALSE,0
"Rome 10-Mar-07","Italy","07","won",23,20,3,13,7,"v Wales","Rome","10-Mar-07",14,0.4,FALSE,"Wales",14,0.2,FALSE,0
"Twickenham 11-Mar-07","England","07","won",26,18,8,9,12,"v France","Twickenham","11-Mar-07",15,0.6,FALSE,"France",15,0.8,FALSE,0
"Millennium Stadium 17-Mar-07","Wales","07","won",27,18,9,18,15,"v England","Millennium Stadium","17-Mar-07",7,0.2,FALSE,"England",6,0.6,TRUE,1
"Rome 17-Mar-07","Italy","07","lost",24,51,-27,12,20,"v Ireland","Rome","17-Mar-07",7,0.4,FALSE,"Ireland",7,0.8,FALSE,0
"Stade de France 17-Mar-07","France","07","won",46,19,27,20,14,"v Scotland","Stade de France","17-Mar-07",6,0.8,TRUE,"Scotland",7,0.2,FALSE,-1
"Croke Park 02-Feb-08","Ireland","08","won",16,11,5,10,3,"v Italy","Croke Park","02-Feb-08",322,0.4,FALSE,"Italy",322,0.2,FALSE,0
"Twickenham 02-Feb-08","England","08","lost",19,26,-7,16,6,"v Wales","Twickenham","02-Feb-08",322,0.6,FALSE,"Wales",322,1,FALSE,0
"Murrayfield 03-Feb-08","Scotland","08","lost",6,27,-21,6,17,"v France","Murrayfield","03-Feb-08",323,0.2,FALSE,"France",323,0.6,FALSE,0
"Millennium Stadium 09-Feb-08","Wales","08","won",30,15,15,10,6,"v Scotland","Millennium Stadium","09-Feb-08",7,1,FALSE,"Scotland",6,0.2,TRUE,1
"Stade de France 09-Feb-08","France","08","won",26,21,5,19,6,"v Ireland","Stade de France","09-Feb-08",6,0.6,TRUE,"Ireland",7,0.4,FALSE,-1
"Rome 10-Feb-08","Italy","08","lost",19,23,-4,6,20,"v England","Rome","10-Feb-08",8,0.2,FALSE,"England",8,0.6,FALSE,0
"Croke Park 23-Feb-08","Ireland","08","won",34,13,21,14,6,"v Scotland","Croke Park","23-Feb-08",14,0.4,FALSE,"Scotland",14,0.2,FALSE,0
"Millennium Stadium 23-Feb-08","Wales","08","won",47,8,39,13,8,"v Italy","Millennium Stadium","23-Feb-08",14,1,FALSE,"Italy",13,0.2,FALSE,1
"Stade de France 23-Feb-08","France","08","lost",13,24,-11,7,13,"v England","Stade de France","23-Feb-08",14,0.6,FALSE,"England",13,0.6,FALSE,1
"Croke Park 08-Mar-08","Ireland","08","lost",12,16,-4,6,3,"v Wales","Croke Park","08-Mar-08",14,0.4,FALSE,"Wales",14,1,FALSE,0
"Murrayfield 08-Mar-08","Scotland","08","won",15,9,6,9,3,"v England","Murrayfield","08-Mar-08",14,0.2,FALSE,"England",14,0.6,FALSE,0
"Stade de France 09-Mar-08","France","08","won",25,13,12,13,6,"v Italy","Stade de France","09-Mar-08",15,0.6,FALSE,"Italy",15,0.2,FALSE,0
"Millennium Stadium 15-Mar-08","Wales","08","won",29,12,17,9,6,"v France","Millennium Stadium","15-Mar-08",7,1,FALSE,"France",6,0.6,TRUE,1
"Rome 15-Mar-08","Italy","08","won",23,20,3,10,17,"v Scotland","Rome","15-Mar-08",6,0.2,TRUE,"Scotland",7,0.2,FALSE,-1
"Twickenham 15-Mar-08","England","08","won",33,10,23,13,10,"v Ireland","Twickenham","15-Mar-08",7,0.6,FALSE,"Ireland",7,0.4,FALSE,0
"Croke Park 07-Feb-09","Ireland","09","won",30,21,9,13,10,"v France","Croke Park","07-Feb-09",329,1,FALSE,"France",329,0.6,FALSE,0
"Twickenham 07-Feb-09","England","09","won",36,11,25,22,6,"v Italy","Twickenham","07-Feb-09",329,0.6,FALSE,"Italy",329,0,FALSE,0
"Murrayfield 08-Feb-09","Scotland","09","lost",13,26,-13,3,16,"v Wales","Murrayfield","08-Feb-09",330,0.2,FALSE,"Wales",330,0.6,FALSE,0
"Millennium Stadium 14-Feb-09","Wales","09","won",23,15,8,9,8,"v England","Millennium Stadium","14-Feb-09",6,0.6,TRUE,"England",7,0.6,FALSE,-1
"Stade de France 14-Feb-09","France","09","won",22,13,9,6,3,"v Scotland","Stade de France","14-Feb-09",7,0.6,FALSE,"Scotland",6,0.2,TRUE,1
"Rome 15-Feb-09","Italy","09","lost",9,38,-29,9,14,"v Ireland","Rome","15-Feb-09",8,0,FALSE,"Ireland",8,1,FALSE,0
"Stade de France 27-Feb-09","France","09","won",21,16,5,13,13,"v Wales","Stade de France","27-Feb-09",13,0.6,FALSE,"Wales",13,0.6,FALSE,0
"Croke Park 28-Feb-09","Ireland","09","won",14,13,1,3,3,"v England","Croke Park","28-Feb-09",13,1,FALSE,"England",14,0.6,FALSE,-1
"Murrayfield 28-Feb-09","Scotland","09","won",26,6,20,16,3,"v Italy","Murrayfield","28-Feb-09",14,0.2,FALSE,"Italy",13,0,FALSE,1
"Murrayfield 14-Mar-09","Scotland","09","lost",15,22,-7,12,9,"v Ireland","Murrayfield","14-Mar-09",14,0.2,FALSE,"Ireland",14,1,FALSE,0
"Rome 14-Mar-09","Italy","09","lost",15,20,-5,9,7,"v Wales","Rome","14-Mar-09",14,0,FALSE,"Wales",15,0.6,FALSE,-1
"Twickenham 15-Mar-09","England","09","won",34,10,24,29,0,"v France","Twickenham","15-Mar-09",15,0.6,FALSE,"France",16,0.6,FALSE,-1
"Millennium Stadium 21-Mar-09","Wales","09","lost",15,17,-2,6,0,"v Ireland","Millennium Stadium","21-Mar-09",7,0.6,FALSE,"Ireland",7,1,FALSE,0
"Rome 21-Mar-09","Italy","09","lost",8,50,-42,3,25,"v France","Rome","21-Mar-09",7,0,FALSE,"France",6,0.6,TRUE,1
"Twickenham 21-Mar-09","England","09","won",26,12,14,15,3,"v Scotland","Twickenham","21-Mar-09",6,0.6,TRUE,"Scotland",7,0.2,FALSE,-1
"Croke Park 06-Feb-10","Ireland","10","won",29,11,18,23,8,"v Italy","Croke Park","06-Feb-10",322,0.6,FALSE,"Italy",322,0.2,FALSE,0
"Twickenham 06-Feb-10","England","10","won",30,17,13,13,3,"v Wales","Twickenham","06-Feb-10",322,0.4,FALSE,"Wales",322,0.4,FALSE,0
"Murrayfield 07-Feb-10","Scotland","10","lost",9,18,-9,6,15,"v France","Murrayfield","07-Feb-10",323,0.2,FALSE,"France",323,1,FALSE,0
"Millennium Stadium 13-Feb-10","Wales","10","won",31,24,7,9,18,"v Scotland","Millennium Stadium","13-Feb-10",7,0.4,FALSE,"Scotland",6,0.2,TRUE,1
"Stade de France 13-Feb-10","France","10","won",33,10,23,17,3,"v Ireland","Stade de France","13-Feb-10",6,1,TRUE,"Ireland",7,0.6,FALSE,-1
"Rome 14-Feb-10","Italy","10","lost",12,17,-5,6,6,"v England","Rome","14-Feb-10",8,0.2,FALSE,"England",8,0.4,FALSE,0
"Millennium Stadium 26-Feb-10","Wales","10","lost",20,26,-6,0,20,"v France","Millennium Stadium","26-Feb-10",13,0.4,FALSE,"France",13,1,FALSE,0
"Rome 27-Feb-10","Italy","10","won",16,12,4,6,6,"v Scotland","Rome","27-Feb-10",13,0.2,FALSE,"Scotland",14,0.2,FALSE,-1
